performanceid,employeeid,reviewdate,environmentsatisfaction,jobsatisfaction,relationshipsatisfaction,trainingopportunitieswithinyear,trainingopportunitiestaken,worklifebalance,selfrating,managerrating,performance_gap,review_year,rating_category,worklife_balance_category,training_flag,satisfaction_score
PR1063,9528-AA17,2016-04-21,3,5,2,2,1,2,5,5,0,2016,High,Poor,1,4.0
PR1064,4188-C61D,2016-04-22,4,5,4,3,0,3,4,3,-1,2016,Medium,Average,1,4.5
PR1065,DFE3-6FA7,2016-04-22,3,5,5,3,0,2,3,2,-1,2016,Medium,Poor,1,4.0
PR1066,7335-4656,2016-04-22,4,5,4,2,0,2,3,2,-1,2016,Medium,Poor,1,4.5
PR1067,49B2-0364,2016-04-23,4,2,2,3,1,2,3,3,0,2016,Medium,Poor,1,3.0
PR1068,51A4-EA6E,2016-04-24,4,5,2,2,1,3,4,4,0,2016,Medium,Average,1,4.5
PR1069,A4A4-F49C,2016-04-24,4,4,2,1,0,4,3,2,-1,2016,Medium,Good,1,4.0
PR107,C661-6A1C,2013-04-21,5,4,5,2,0,4,3,3,0,2013,Medium,Good,1,4.5
PR1070,BAF9-933D,2016-04-24,5,5,2,2,1,4,5,5,0,2016,High,Good,1,5.0
PR1071,1147-7E2F,2016-04-25,4,5,2,1,2,4,3,2,-1,2016,Medium,Good,1,4.5
PR1072,4E65-CCD0,2016-04-26,4,2,2,2,0,4,5,4,-1,2016,High,Good,1,3.0
PR1073,1AC8-361F,2016-04-28,5,5,4,2,2,5,5,4,-1,2016,High,,1,5.0
PR1074,D93A-CC98,2016-04-28,3,5,3,1,0,4,3,2,-1,2016,Medium,Good,1,4.0
PR1075,C79A-E5E1,2016-04-29,4,2,2,1,0,4,5,4,-1,2016,High,Good,1,3.0
PR1076,A1B4-5481,2016-04-30,5,3,3,1,0,3,4,3,-1,2016,Medium,Average,1,4.0
PR1077,D49C-096C,2016-04-30,5,5,2,1,1,3,5,4,-1,2016,High,Average,1,5.0
PR1078,2F04-931F,2016-04-30,3,2,4,3,2,5,3,3,0,2016,Medium,,1,2.5
PR1079,380E-44B4,2016-04-30,3,2,3,2,1,3,5,4,-1,2016,High,Average,1,2.5
PR108,4188-C61D,2013-04-23,5,2,5,3,1,5,5,5,0,2013,High,,1,3.5
PR1080,327B-F6D3,2016-05-01,5,2,5,3,1,3,3,2,-1,2016,Medium,Average,1,3.5
PR1081,B148-55FB,2016-05-01,3,5,4,1,3,5,5,4,-1,2016,High,,1,4.0
PR1082,EB4F-4D97,2016-05-01,5,5,3,1,2,3,4,4,0,2016,Medium,Average,1,5.0
PR1083,1472-9F69,2016-05-02,4,4,4,1,0,5,5,4,-1,2016,High,,1,4.0
PR1084,59DB-8465,2016-05-02,5,5,4,2,0,4,3,2,-1,2016,Medium,Good,1,5.0
PR1085,D31B-BEF8,2016-05-03,5,2,3,3,0,2,3,2,-1,2016,Medium,Poor,1,3.5
PR1086,565B-C207,2016-05-03,4,3,5,3,2,4,3,3,0,2016,Medium,Good,1,3.5
PR1087,13E5-2F17,2016-05-04,3,2,3,3,0,3,3,3,0,2016,Medium,Average,1,2.5
PR1088,ADF8-AD57,2016-05-04,4,5,2,2,2,5,4,3,-1,2016,Medium,,1,4.5
PR1089,FE2B-3DC7,2016-05-05,4,5,2,3,0,3,4,3,-1,2016,Medium,Average,1,4.5
PR109,DFE3-6FA7,2013-04-23,3,4,4,3,1,2,4,4,0,2013,Medium,Poor,1,3.5
PR1090,F3D0-41D1,2016-05-05,1,4,3,3,1,1,3,2,-1,2016,Medium,Poor,1,2.5
PR1091,11AE-3E4D,2016-05-05,3,4,4,1,2,1,5,5,0,2016,High,Poor,1,3.5
PR1092,2CA8-4E1B,2016-05-06,2,1,1,3,0,3,3,3,0,2016,Medium,Average,1,1.5
PR1093,08E4-D3D5,2016-05-06,1,4,2,1,2,3,3,2,-1,2016,Medium,Average,1,2.5
PR1094,D2BE-E6F6,2016-05-06,4,2,2,2,2,1,3,3,0,2016,Medium,Poor,1,3.0
PR1095,9BD6-2C43,2016-05-06,4,2,4,1,1,2,4,4,0,2016,Medium,Poor,1,3.0
PR1096,E8B6-8BAE,2016-05-07,1,4,2,1,1,4,5,5,0,2016,High,Good,1,2.5
PR1097,291F-B604,2016-05-08,3,4,4,2,0,3,5,5,0,2016,High,Average,1,3.5
PR1098,692B-7152,2016-05-08,1,1,1,1,3,3,4,4,0,2016,Medium,Average,1,1.0
PR1099,4657-FE18,2016-05-09,2,4,1,1,2,2,4,4,0,2016,Medium,Poor,1,3.0
PR11,9937-CDF7,2013-01-11,5,5,2,2,0,2,5,5,0,2013,High,Poor,1,5.0
PR110,D24B-5AC8,2013-04-23,4,3,4,3,1,4,4,4,0,2013,Medium,Good,1,3.5
PR1100,8EBD-B3E8,2016-05-09,3,4,3,2,1,3,4,3,-1,2016,Medium,Average,1,3.5
PR1101,E28D-424B,2016-05-10,3,2,2,2,2,4,5,4,-1,2016,High,Good,1,2.5
PR1102,7B47-C915,2016-05-10,3,3,2,2,2,5,5,4,-1,2016,High,,1,3.0
PR1103,A848-F98B,2016-05-11,3,4,2,1,0,5,3,2,-1,2016,Medium,,1,3.5
PR1104,1C87-44CB,2016-05-12,3,2,4,1,0,5,3,3,0,2016,Medium,,1,2.5
PR1105,41FE-D257,2016-05-12,5,5,5,1,0,4,5,4,-1,2016,High,Good,1,5.0
PR1106,A690-3D5D,2016-05-12,3,2,5,2,0,4,3,2,-1,2016,Medium,Good,1,2.5
PR1107,42CC-040A,2016-05-13,4,3,2,1,0,5,3,2,-1,2016,Medium,,1,3.5
PR1108,C9FF-3A25,2016-05-13,5,3,5,2,2,5,5,5,0,2016,High,,1,4.0
PR1109,BE93-0736,2016-05-13,4,3,5,1,0,2,5,4,-1,2016,High,Poor,1,3.5
PR111,EE12-1C73,2013-04-23,3,4,5,3,0,4,3,3,0,2013,Medium,Good,1,3.5
PR1110,1F0F-458C,2016-05-14,5,4,5,3,0,3,4,4,0,2016,Medium,Average,1,4.5
PR1111,DE6C-86FC,2016-05-15,5,3,3,1,2,3,4,4,0,2016,Medium,Average,1,4.0
PR1112,FFCF-0BD5,2016-05-15,4,3,2,3,2,5,3,2,-1,2016,Medium,,1,3.5
PR1113,0A05-3943,2016-05-16,4,2,2,2,0,2,5,5,0,2016,High,Poor,1,3.0
PR1114,9F65-F612,2016-05-16,3,3,5,3,0,5,3,3,0,2016,Medium,,1,3.0
PR1115,64D6-0D5F,2016-05-16,3,2,5,3,1,4,4,4,0,2016,Medium,Good,1,2.5
PR1116,9D3C-DA45,2016-05-17,4,3,5,3,1,2,5,5,0,2016,High,Poor,1,3.5
PR1117,2523-EFD4,2016-05-18,3,2,2,2,1,4,4,4,0,2016,Medium,Good,1,2.5
PR1118,4D59-B831,2016-05-19,4,3,3,3,1,3,5,5,0,2016,High,Average,1,3.5
PR1119,5060-A677,2016-05-19,5,4,3,3,3,4,5,5,0,2016,High,Good,1,4.5
PR112,BAF9-933D,2013-04-25,5,2,4,3,0,5,5,4,-1,2013,High,,1,3.5
PR1120,A2D0-E2D2,2016-05-19,3,4,4,1,1,4,4,3,-1,2016,Medium,Good,1,3.5
PR1121,BE54-8537,2016-05-19,3,3,2,1,2,4,4,3,-1,2016,Medium,Good,1,3.0
PR1122,9169-FC4B,2016-05-20,4,4,3,1,0,3,5,5,0,2016,High,Average,1,4.0
PR1123,00B0-F199,2016-05-21,3,3,5,3,2,5,5,4,-1,2016,High,,1,3.0
PR1124,1705-0DE5,2016-05-22,5,4,4,2,2,5,3,2,-1,2016,Medium,,1,4.5
PR1125,8766-F1E7,2016-05-23,4,3,2,1,2,3,4,4,0,2016,Medium,Average,1,3.5
PR1126,45F9-3A37,2016-05-23,4,5,2,1,0,3,5,4,-1,2016,High,Average,1,4.5
PR1127,BD1B-53A3,2016-05-23,5,4,2,1,1,5,4,3,-1,2016,Medium,,1,4.5
PR1128,81BE-17CD,2016-05-23,5,2,2,2,1,3,4,3,-1,2016,Medium,Average,1,3.5
PR1129,06DE-E772,2016-05-24,4,3,3,1,2,2,4,3,-1,2016,Medium,Poor,1,3.5
PR113,1147-7E2F,2013-04-26,3,3,2,1,2,2,3,2,-1,2013,Medium,Poor,1,3.0
PR1130,0F83-39C1,2016-05-24,4,3,3,2,1,5,4,3,-1,2016,Medium,,1,3.5
PR1131,ED49-73D3,2016-05-24,3,5,2,1,0,4,5,4,-1,2016,High,Good,1,4.0
PR1132,D91C-815B,2016-05-26,3,3,5,3,0,2,3,3,0,2016,Medium,Poor,1,3.0
PR1133,29C2-1A3F,2016-05-26,5,4,3,2,0,3,5,5,0,2016,High,Average,1,4.5
PR1134,462E-03DF,2016-05-26,4,2,2,2,1,2,3,3,0,2016,Medium,Poor,1,3.0
PR1135,2F98-E645,2016-05-27,3,4,5,2,0,4,4,3,-1,2016,Medium,Good,1,3.5
PR1136,F469-0427,2016-05-27,3,2,5,1,2,5,4,4,0,2016,Medium,,1,2.5
PR1137,CACA-0D62,2016-05-28,5,3,3,3,1,3,5,5,0,2016,High,Average,1,4.0
PR1138,C08F-94F9,2016-05-29,5,5,2,1,0,3,4,4,0,2016,Medium,Average,1,5.0
PR1139,DEBE-1622,2016-05-29,3,2,3,1,0,4,5,4,-1,2016,High,Good,1,2.5
PR114,4E65-CCD0,2013-04-27,4,5,3,1,0,3,3,2,-1,2013,Medium,Average,1,4.5
PR1140,6965-C170,2016-05-29,5,2,2,3,0,2,4,3,-1,2016,Medium,Poor,1,3.5
PR1141,7349-CCE0,2016-05-29,3,2,4,1,1,2,5,5,0,2016,High,Poor,1,2.5
PR1142,6313-8E62,2016-05-31,3,3,4,2,1,3,4,4,0,2016,Medium,Average,1,3.0
PR1143,F662-DEA5,2016-05-31,5,2,5,2,3,5,4,3,-1,2016,Medium,,1,3.5
PR1144,B3AF-7E58,2016-06-01,4,5,3,1,1,5,4,4,0,2016,Medium,,1,4.5
PR1145,64BA-99F0,2016-06-01,3,2,5,2,0,3,5,5,0,2016,High,Average,1,2.5
PR1146,8663-3E02,2016-06-01,3,4,2,3,2,5,4,3,-1,2016,Medium,,1,3.5
PR1147,F523-1135,2016-06-01,3,3,3,3,3,2,4,4,0,2016,Medium,Poor,1,3.0
PR1148,0C7B-2EA6,2016-06-03,5,2,4,1,2,4,5,4,-1,2016,High,Good,1,3.5
PR1149,06E8-4FD4,2016-06-04,3,2,3,1,1,4,3,3,0,2016,Medium,Good,1,2.5
PR115,7EEF-9A90,2013-04-27,5,2,5,2,1,4,4,4,0,2013,Medium,Good,1,3.5
PR1150,9D7B-9B37,2016-06-05,3,3,4,2,0,4,4,4,0,2016,Medium,Good,1,3.0
PR1151,DDBF-9C79,2016-06-06,5,5,4,1,0,5,5,4,-1,2016,High,,1,5.0
PR1152,6CAD-47F0,2016-06-06,4,3,2,1,1,3,3,3,0,2016,Medium,Average,1,3.5
PR1153,CD4D-7BBA,2016-06-06,4,5,3,3,2,4,3,2,-1,2016,Medium,Good,1,4.5
PR1154,B785-D8F8,2016-06-09,3,3,3,1,1,4,3,3,0,2016,Medium,Good,1,3.0
PR1155,D584-4E31,2016-06-09,5,5,4,2,1,5,3,2,-1,2016,Medium,,1,5.0
PR1156,8A40-C85A,2016-06-10,4,5,2,2,0,5,5,4,-1,2016,High,,1,4.5
PR1157,3F0C-41A7,2016-06-12,5,2,3,2,2,5,5,5,0,2016,High,,1,3.5
PR1158,DFDC-286C,2016-06-13,5,5,2,3,3,4,5,5,0,2016,High,Good,1,5.0
PR1159,3E42-57C8,2016-06-14,3,5,5,3,0,4,5,5,0,2016,High,Good,1,4.0
PR116,1AC8-361F,2013-04-29,3,3,5,1,2,4,5,4,-1,2013,High,Good,1,3.0
PR1160,E9B9-3944,2016-06-14,5,5,4,1,0,3,4,3,-1,2016,Medium,Average,1,5.0
PR1161,A91B-7DC5,2016-06-14,3,5,3,1,1,4,5,4,-1,2016,High,Good,1,4.0
PR1162,AB5F-244C,2016-06-16,4,4,3,1,2,5,3,3,0,2016,Medium,,1,4.0
PR1163,1E61-70EC,2016-06-17,3,2,3,2,1,2,3,2,-1,2016,Medium,Poor,1,2.5
PR1164,549F-B3E7,2016-06-17,4,5,4,1,2,3,4,3,-1,2016,Medium,Average,1,4.5
PR1165,00A3-2445,2016-06-19,4,5,4,2,2,5,4,3,-1,2016,Medium,,1,4.5
PR1166,F4D2-F6F2,2016-06-19,4,4,5,3,0,5,3,3,0,2016,Medium,,1,4.0
PR1167,BDC5-51CF,2016-06-21,3,2,4,1,0,3,3,3,0,2016,Medium,Average,1,2.5
PR1168,5468-EEE1,2016-06-21,4,3,5,1,2,4,5,4,-1,2016,High,Good,1,3.5
PR1169,2E72-4BF1,2016-06-22,4,4,3,1,2,5,4,4,0,2016,Medium,,1,4.0
PR117,D93A-CC98,2013-04-29,4,5,3,1,0,5,5,4,-1,2013,High,,1,4.5
PR1170,3EB2-9111,2016-06-23,5,3,3,3,1,4,4,4,0,2016,Medium,Good,1,4.0
PR1171,8822-B9C5,2016-06-23,4,4,3,1,1,5,3,2,-1,2016,Medium,,1,4.0
PR1172,9AAD-D3C1,2016-06-24,4,2,5,3,0,4,3,3,0,2016,Medium,Good,1,3.0
PR1173,4CCA-B1E6,2016-06-26,3,3,4,1,0,5,5,4,-1,2016,High,,1,3.0
PR1174,E8F5-C47D,2016-06-26,3,2,3,3,1,2,4,3,-1,2016,Medium,Poor,1,2.5
PR1175,8026-658D,2016-06-26,3,4,3,1,2,4,4,4,0,2016,Medium,Good,1,3.5
PR1176,450D-13A9,2016-06-26,5,5,5,2,1,2,3,3,0,2016,Medium,Poor,1,5.0
PR1177,C0C7-A3EF,2016-06-28,4,5,5,2,0,3,4,4,0,2016,Medium,Average,1,4.5
PR1178,C385-CDBE,2016-06-28,5,5,4,3,0,3,5,5,0,2016,High,Average,1,5.0
PR1179,2B7A-9C73,2016-06-29,4,4,3,1,1,4,3,3,0,2016,Medium,Good,1,4.0
PR118,C79A-E5E1,2013-04-30,3,2,2,1,1,5,4,3,-1,2013,Medium,,1,2.5
PR1180,4C88-27A1,2016-07-01,5,4,2,3,1,4,5,4,-1,2016,High,Good,1,4.5
PR1181,5731-90E6,2016-07-01,3,4,2,1,1,5,4,4,0,2016,Medium,,1,3.5
PR1182,FBC2-C5FA,2016-07-01,4,4,3,3,0,4,5,5,0,2016,High,Good,1,4.0
PR1183,9723-FED9,2016-07-01,3,4,5,3,0,5,3,3,0,2016,Medium,,1,3.5
PR1184,F9B6-C80B,2016-07-03,4,3,5,1,0,2,5,5,0,2016,High,Poor,1,3.5
PR1185,2F85-AF81,2016-07-05,4,2,4,3,0,4,3,3,0,2016,Medium,Good,1,3.0
PR1186,427A-8C69,2016-07-06,3,2,2,3,2,5,5,4,-1,2016,High,,1,2.5
PR1187,8B79-18F1,2016-07-08,5,3,5,3,1,3,4,4,0,2016,Medium,Average,1,4.0
PR1188,AF58-5D1B,2016-07-08,4,3,3,2,2,2,3,3,0,2016,Medium,Poor,1,3.5
PR1189,0FC8-561B,2016-07-09,3,2,2,1,2,4,3,3,0,2016,Medium,Good,1,2.5
PR119,A1B4-5481,2013-05-01,5,2,2,1,0,4,3,2,-1,2013,Medium,Good,1,3.5
PR1190,7B98-EA6F,2016-07-09,5,3,2,3,1,5,3,2,-1,2016,Medium,,1,4.0
PR1191,9A87-71F6,2016-07-09,3,2,5,3,1,4,5,4,-1,2016,High,Good,1,2.5
PR1192,E268-61EB,2016-07-10,3,2,3,3,1,3,3,2,-1,2016,Medium,Average,1,2.5
PR1193,132B-F2B2,2016-07-10,5,5,3,3,0,3,3,2,-1,2016,Medium,Average,1,5.0
PR1194,A2B5-823F,2016-07-10,3,5,3,3,1,4,4,4,0,2016,Medium,Good,1,4.0
PR1195,6345-2F33,2016-07-11,4,3,5,1,1,3,4,4,0,2016,Medium,Average,1,3.5
PR1196,8583-9174,2016-07-13,5,2,3,2,0,2,5,5,0,2016,High,Poor,1,3.5
PR1197,E324-1C33,2016-07-15,5,4,4,3,1,5,4,3,-1,2016,Medium,,1,4.5
PR1198,246E-3383,2016-07-15,3,3,4,1,1,2,3,3,0,2016,Medium,Poor,1,3.0
PR1199,D906-B674,2016-07-17,3,3,3,2,1,3,5,4,-1,2016,High,Average,1,3.0
PR12,CD59-7F94,2013-01-11,5,2,3,2,0,3,3,2,-1,2013,Medium,Average,1,3.5
PR120,D49C-096C,2013-05-01,3,4,2,3,1,2,3,2,-1,2013,Medium,Poor,1,3.5
PR1200,D8FC-E2F7,2016-07-18,5,3,4,2,0,2,3,3,0,2016,Medium,Poor,1,4.0
PR1201,F0C3-4859,2016-07-18,5,2,2,2,2,5,5,4,-1,2016,High,,1,3.5
PR1202,F4A3-2126,2016-07-18,5,4,3,3,1,3,4,4,0,2016,Medium,Average,1,4.5
PR1203,F83C-CA1D,2016-07-19,3,4,3,1,1,5,5,4,-1,2016,High,,1,3.5
PR1204,C0BE-FED0,2016-07-19,3,2,4,1,0,3,4,3,-1,2016,Medium,Average,1,2.5
PR1205,307F-9BFA,2016-07-19,4,5,2,1,0,3,5,4,-1,2016,High,Average,1,4.5
PR1206,AA87-13D8,2016-07-20,5,4,4,2,1,5,4,4,0,2016,Medium,,1,4.5
PR1207,4316-C080,2016-07-22,3,4,2,2,0,5,5,5,0,2016,High,,1,3.5
PR1208,9DB2-76B3,2016-07-25,5,3,2,1,1,4,5,4,-1,2016,High,Good,1,4.0
PR1209,D565-284D,2016-07-25,3,2,4,2,1,3,3,2,-1,2016,Medium,Average,1,2.5
PR121,327B-F6D3,2013-05-02,3,5,5,2,0,2,5,5,0,2013,High,Poor,1,4.0
PR1210,7AA0-5766,2016-07-27,4,4,2,3,3,3,5,5,0,2016,High,Average,1,4.0
PR1211,F3A3-10CE,2016-07-28,3,2,2,1,0,3,3,3,0,2016,Medium,Average,1,2.5
PR1212,D69C-8F84,2016-07-28,3,4,4,2,3,5,5,4,-1,2016,High,,1,3.5
PR1213,CBCB-9C9D,2016-07-30,3,3,2,2,0,5,4,4,0,2016,Medium,,1,3.0
PR1214,1217-CE30,2016-07-30,3,2,5,1,1,5,4,4,0,2016,Medium,,1,2.5
PR1215,27CD-A6BF,2016-07-31,4,5,5,3,2,4,5,5,0,2016,High,Good,1,4.5
PR1216,7A8C-2DD3,2016-08-01,5,2,3,1,1,5,4,4,0,2016,Medium,,1,3.5
PR1217,66BC-7AC0,2016-08-04,5,5,4,1,1,5,4,3,-1,2016,Medium,,1,5.0
PR1218,55D6-1423,2016-08-04,4,3,3,3,0,4,3,3,0,2016,Medium,Good,1,3.5
PR1219,ED73-F078,2016-08-04,4,4,3,3,3,5,3,3,0,2016,Medium,,1,4.0
PR122,EB4F-4D97,2013-05-02,4,5,4,1,3,2,5,4,-1,2013,High,Poor,1,4.5
PR1220,67D7-9785,2016-08-06,3,2,5,2,1,4,5,4,-1,2016,High,Good,1,2.5
PR1221,BFE7-5EA8,2016-08-06,4,2,3,2,1,5,3,3,0,2016,Medium,,1,3.0
